,t,nt,size
Tree,"[0.9939759036144578, 0.9428885669832072, 0.9851978266926721, 0.9958538184201902, 1.0, 0.5251916757940854, 0.8653846153846154, 1.0, 0.743127147766323, 0.9035714285714285, 0.8722222222222222, 0.7892156862745098, 0.8890977443609023, 0.5, 0.8614864864864865]","[0.9939759036144578, 0.9304415472933096, 0.9797297297297297, 0.9954113405440839, 1.0, 0.6730558598028478, 0.5961538461538461, 0.9507276507276508, 0.8281786941580755, 0.7059523809523809, 0.8722222222222222, 0.9019607843137255, 0.8439849624060151, 0.53125, 0.597972972972973]","[89, 1095, 462, 1265, 366, 94, 56, 198, 297, 67, 41, 40, 45, 20, 41]"
RF,"[0.9939759036144578, 0.968895863511991, 0.9932432432432432, 0.991265158964274, 1.0, 0.42771084337349397, 0.8653846153846154, 1.0, 0.7396907216494846, 0.9833333333333334, 0.8583333333333334, 0.9019607843137255, 0.8890977443609023, 0.5, 0.597972972972973]","[0.9939759036144578, 0.9417618970974837, 0.9932432432432432, 0.9917076368403802, 1.0, 0.5, 0.8653846153846154, 1.0, 0.6649484536082474, 0.7857142857142857, 0.8861111111111111, 0.9019607843137255, 0.8571428571428572, 0.5, 0.5]","[89, 1095, 462, 1265, 366, 94, 56, 198, 297, 67, 41, 40, 45, 20, 41]"
KNN,"[0.9759036144578312, 0.9334057621117013, 0.9842226246865422, 0.9899377253359554, 1.0, 0.4709748083242059, 0.8653846153846154, 1.0, 0.8994845360824743, 0.95, 0.8722222222222222, 0.8872549019607843, 0.9022556390977443, 0.5625, 0.6959459459459459]","[0.9939759036144578, 0.8574091957723053, 0.9880886040679855, 0.9843002294329728, 1.0, 0.4819277108433735, 0.875, 1.0, 0.6666666666666666, 0.9285714285714286, 0.9, 0.9166666666666667, 0.8571428571428572, 0.5625, 0.4864864864864865]","[89, 1095, 462, 1265, 366, 94, 56, 198, 297, 67, 41, 40, 45, 20, 41]"
XGB,"[0.9939759036144578, 0.9709345994956811, 0.9932432432432432, 0.991265158964274, 1.0, 0.6095290251916758, 0.8557692307692308, 0.9972972972972973, 0.8247422680412371, 0.975, 0.8444444444444444, 0.8872549019607843, 0.8176691729323309, 0.5, 0.847972972972973]","[0.9939759036144578, 0.9461478620097645, 0.9864864864864865, 0.9954113405440839, 1.0, 0.5334063526834611, 0.8653846153846154, 0.9972972972972973, 0.8298969072164948, 0.8488095238095238, 0.7861111111111111, 0.8872549019607843, 0.8439849624060151, 0.59375, 0.4864864864864865]","[89, 1095, 462, 1265, 366, 94, 56, 198, 297, 67, 41, 40, 45, 20, 41]"
