;t;nt;size
Tree;[0.9939759036144578, 0.926873759321852, 0.9797297297297297, 0.9954113405440839, 1.0, 0.6522453450164294, 0.5961538461538461, 0.9480249480249481, 0.8264604810996563, 0.7773809523809523, 0.8722222222222222, 0.9019607843137255, 0.8439849624060151, 0.5625, 0.5709459459459459];[0.9939759036144578, 0.9304415472933096, 0.9784410699359153, 0.9958538184201902, 1.0, 0.6670317634173055, 0.6057692307692308, 0.9507276507276508, 0.7448453608247423, 0.6976190476190476, 0.8722222222222222, 0.9019607843137255, 0.8439849624060151, 0.5, 0.47297297297297297];[]
RF;[0.9939759036144578, 0.9539004238424809, 0.9932432432432432, 0.9940839069157653, 1.0, 0.4939759036144578, 0.7403846153846154, 1.0, 0.6649484536082474, 0.7142857142857143, 0.8861111111111111, 0.9019607843137255, 0.8439849624060151, 0.5, 0.5];[0.9939759036144578, 0.9461478620097645, 0.9932432432432432, 0.9908226810881677, 1.0, 0.5, 0.8653846153846154, 1.0, 0.6615120274914089, 0.7857142857142857, 0.8861111111111111, 0.9019607843137255, 0.8571428571428572, 0.5, 0.5];[]
KNN;[0.9879518072289157, 0.8558801437845378, 0.9867999442741711, 0.9843002294329728, 1.0, 0.4759036144578313, 0.875, 1.0, 0.75, 0.9285714285714286, 0.9, 0.9166666666666667, 0.8571428571428572, 0.5625, 0.4864864864864865];[0.9939759036144578, 0.8574091957723053, 0.9880886040679855, 0.9843002294329728, 1.0, 0.4819277108433735, 0.875, 1.0, 0.6666666666666666, 0.9285714285714286, 0.9, 0.9166666666666667, 0.8571428571428572, 0.5625, 0.4864864864864865];[]
XGB;[0.9939759036144578, 0.9544101078384033, 0.9864864864864865, 0.9949688626679777, 1.0, 0.6002190580503833, 0.8653846153846154, 0.9972972972972973, 0.8281786941580755, 0.8571428571428572, 0.7861111111111111, 0.8872549019607843, 0.8439849624060151, 0.59375, 0.4864864864864865];[0.9939759036144578, 0.9461478620097645, 0.9864864864864865, 0.9954113405440839, 1.0, 0.5334063526834611, 0.8653846153846154, 0.9972972972972973, 0.8298969072164948, 0.8488095238095238, 0.7861111111111111, 0.8872549019607843, 0.8439849624060151, 0.59375, 0.4864864864864865];[]
